name,cx,cy,cz,width,depth,angle
Building.002,1346.810,3232.889,20.918,21.696,14.816,-120.00
Building.003,1354.246,3248.065,20.918,25.929,28.046,-135.00
Building.004,1342.898,3218.883,20.918,23.812,13.229,75.00
Building.005,1337.510,3205.683,20.918,26.458,20.638,75.00
Building.006,1371.344,3230.768,20.918,22.754,28.443,-135.00
Building.007,1386.018,3214.719,20.918,21.828,18.521,-135.00
Building.008,1407.515,3194.939,20.918,32.411,21.167,-135.00
Building.009,1383.678,3208.935,20.918,29.104,21.167,-105.00
Building.010,1365.785,3217.275,20.918,24.209,25.797,-120.00
Building.011,1224.557,3235.372,20.918,21.828,24.474,135.00
Building.012,1227.717,3228.348,20.918,19.182,21.166,-45.00
Building.013,1255.577,3202.459,20.918,29.766,27.781,60.00
Building.014,1252.040,3194.979,20.918,26.679,27.781,60.00
Building.015,1241.316,3191.784,20.918,17.000,15.148,60.00
Building.016,1272.221,3192.677,20.918,19.465,31.486,150.00
Building.017,1282.259,3204.170,20.918,19.050,12.700,-75.00
Building.018,1298.084,3195.360,20.918,12.700,12.171,-105.00
Building.019,1312.854,3163.507,20.918,46.302,29.792,45.00
Building.020,1346.765,3155.576,20.918,14.817,9.525,-90.00
Building.021,1334.824,3150.466,20.918,11.113,11.906,-120.00
Building.022,1384.054,3170.624,20.918,17.145,13.759,-90.00
Building.023,1365.561,3165.462,20.918,15.875,19.050,180.00
Building.024,1421.643,3149.876,20.918,23.812,10.319,90.00
Building.025,1462.147,3112.539,20.918,0.063,0.661,90.00
Building.026,1445.157,3113.846,20.918,34.995,15.875,-90.00
Building.027,1418.178,3138.417,20.918,15.405,12.978,90.00
Building.028,1416.347,3138.251,20.918,17.942,14.552,-90.00
Building.029,1538.042,3024.605,20.918,77.391,111.787,-150.00
Building.030,1597.179,2944.066,20.918,121.288,213.651,-150.00
Building.031,1539.250,3055.841,20.918,0.122,0.159,45.00
Building.032,1530.108,3066.237,20.918,20.701,27.094,-135.00
Building.033,1494.845,3104.548,20.918,31.583,37.147,-135.00
Building.034,1477.401,3122.874,20.918,1.159,1.548,45.00
Building.035,1545.416,2933.579,20.918,22.490,21.082,120.00
Building.036,1546.452,2950.904,20.918,1.984,0.746,30.00
Building.037,1633.291,2922.820,20.918,14.096,15.857,30.00
Building.038,1429.408,2828.487,20.918,53.975,66.675,180.00
Building.039,1351.526,2820.511,20.918,59.531,63.500,-135.00
Building.040,1405.890,2768.274,20.918,33.338,49.213,105.00
Building.041,1369.966,2760.032,20.918,16.669,40.481,15.00
Building.042,1379.759,2782.259,20.918,0.793,2.381,0.00
Building.043,1356.225,2877.741,20.918,1.326,1.587,15.00
Building.044,1334.530,2867.265,20.918,44.711,53.181,120.00
Building.045,1396.444,2945.833,20.918,22.225,11.113,-75.00
Building.046,1398.524,2930.920,20.918,25.135,12.700,105.00
Building.047,1348.057,2954.151,20.918,17.463,7.938,90.00
Building.048,1350.648,2942.449,20.918,15.346,10.054,-90.00
Building.049,1353.883,2918.132,20.918,13.229,9.525,105.00
Building.050,1414.008,2903.899,20.918,11.642,23.284,0.00
Building.051,1409.759,2871.370,20.918,44.318,21.167,105.00
Building.052,1374.946,2894.286,20.918,11.906,41.010,0.00
Building.053,1404.672,2882.228,20.918,7.938,5.953,120.00
Building.054,1396.347,2893.566,20.918,23.031,29.104,15.00
Building.055,1359.979,2866.617,20.918,12.700,26.485,-165.00
Building.056,1360.937,2771.139,20.918,10.319,13.097,-165.00
Building.057,1369.795,2929.826,20.918,8.202,16.669,0.00
Building.058,1411.429,2918.226,20.918,10.054,8.467,105.00
Building.059,1543.264,2889.570,20.918,36.915,36.915,-45.00
Building.060,1564.001,2905.159,20.918,0.656,0.127,-75.00
Building.061,1537.417,2899.260,20.918,20.108,11.642,-75.00
Building.062,1537.405,2884.913,20.918,20.638,16.404,135.00
Building.063,1527.266,2880.127,20.918,22.754,32.279,180.00
Building.064,1541.995,2858.135,20.918,19.050,30.790,0.00
Building.065,1521.930,2849.716,20.918,40.746,25.400,-165.00
Building.066,1497.883,2816.014,20.918,25.400,12.700,75.00
Building.067,1489.182,2769.459,20.918,15.346,17.463,105.00
Building.068,1515.612,2791.020,20.918,23.813,11.113,-90.00
Building.069,1527.348,2818.074,20.918,16.933,16.933,-30.00
Building.070,1536.347,2799.717,20.918,15.875,9.525,45.00
Building.071,1549.203,2814.726,20.918,19.579,37.042,-15.00
Building.072,1559.477,2812.199,20.918,17.992,33.867,-15.00
Building.073,1696.446,2827.620,20.918,26.458,35.983,135.00
Building.074,1644.793,2847.761,20.918,14.839,15.222,-15.00
Building.075,1570.777,2841.545,20.918,20.108,24.871,-165.00
Building.076,1577.472,2861.769,20.918,23.283,34.925,30.00
Building.077,1581.233,2853.352,20.918,33.867,29.104,-60.00
Building.078,1608.973,2826.544,20.918,24.099,33.867,30.00
Building.079,1591.257,2825.281,20.918,25.576,28.812,30.00
Building.080,1587.474,2819.853,20.918,13.758,23.812,45.00
Building.081,1614.931,2817.015,20.918,14.954,26.172,-150.00
Building.082,1615.635,2802.882,20.918,12.171,11.642,-90.00
Building.083,1600.377,2772.424,20.918,31.750,39.158,60.00
Building.084,1698.774,2786.672,20.918,31.750,31.750,45.00
Building.085,1750.072,2761.744,20.918,30.162,25.929,120.00
Building.086,1737.848,2773.190,20.918,22.225,19.050,135.00
Building.087,1762.169,2799.585,20.918,18.521,13.758,135.00
Building.088,1605.803,2744.297,20.918,11.642,10.054,-105.00
Building.089,1605.852,2720.644,20.918,25.400,27.517,165.00
Building.090,1592.867,2693.404,20.918,14.288,17.992,60.00
Building.091,1591.113,2701.594,20.918,14.817,13.759,150.00
Building.092,1589.275,2684.109,20.918,33.338,27.517,-165.00
Building.093,1580.146,2647.028,20.918,19.050,13.229,165.00
Building.094,1574.718,2632.360,20.918,22.225,23.283,45.00
Building.095,1575.885,2621.902,20.918,14.817,26.458,-165.00
Building.096,1568.745,2615.083,20.918,31.221,38.100,165.00
Building.097,1560.557,2638.506,20.918,10.054,14.287,-30.00
Building.098,1565.584,2638.506,20.918,16.933,14.287,180.00
Building.099,1886.067,2724.447,20.918,22.891,18.651,-120.00
Building.100,1878.374,2717.791,20.918,21.167,19.050,-135.00
Building.1000,2845.516,1359.158,20.918,12.165,12.248,-150.00
Building.1001,2849.069,1365.870,20.918,14.812,13.685,-60.00
Building.1002,2863.693,1362.290,20.918,13.516,12.742,120.00
Building.1003,2885.082,1382.348,20.918,18.451,14.321,-60.00
Building.1004,2880.116,1375.380,20.918,11.195,10.828,-150.00
Building.1005,2846.321,1376.108,20.918,35.266,23.283,120.00
Building.1006,2829.966,1401.730,20.918,14.878,32.808,15.00
Building.1007,2963.192,1292.477,20.918,27.781,42.995,135.00
Building.1008,2971.460,1254.112,20.918,60.193,42.333,90.00
Building.1009,2933.195,1362.955,20.918,23.151,11.906,105.00
Building.101,1881.853,2695.320,20.918,11.642,10.583,75.00
Building.1010,2961.906,1330.434,20.918,14.552,20.505,-150.00
Building.1011,2842.132,1272.062,20.918,42.145,48.849,0.00
Building.1012,2911.185,1349.958,20.918,19.438,26.852,-165.00
Building.1013,2908.291,1360.608,20.918,0.662,0.271,15.00
Building.1014,2908.291,1360.608,20.918,1.760,1.129,15.00
Building.1015,2869.857,1344.076,20.918,18.979,18.277,-60.00
Building.1016,2880.943,1337.858,20.918,19.735,27.813,-165.00
Building.1017,2898.512,1345.372,20.918,15.653,23.351,-165.00
Building.1018,2903.066,1335.037,20.918,28.697,19.558,-75.00
Building.1019,2907.913,1309.283,20.918,29.899,10.799,-75.00
Building.102,1826.657,2674.358,20.918,26.987,17.992,45.00
Building.1020,2907.284,1309.188,20.918,29.412,13.053,105.00
Building.1021,2915.635,1291.626,20.918,21.913,12.536,90.00
Building.1022,2921.010,1258.795,20.918,27.673,11.702,90.00
Building.1023,2918.429,1282.762,20.918,25.806,13.253,-90.00
Building.1024,2917.177,1282.659,20.918,23.235,10.813,90.00
