 ,English,Vietnamese,French
mainMenu.start  ,,,Commencer
mainMenu.end    ,,,Fin
mainMenu.options,,,Options
mainMenu.Leave,"Experience complete, please place the headset back on its stand.","Trải nghiệm đã kết thúc, vui lòng đặt kính thực tế ảo trở lại giá đỡ.","Expérience terminée, merci de reposer le casque sur son support."
,,,
narrator.dialogue.01,"Hello, my name is Hoai, I live in the Red River Delta. It is July 23, 1926.","Xin chào, tôi tên là Hoài, tôi sống ở đồng bằng sông Hồng. Hôm nay là ngày 23 tháng 7 năm 1926.","Bonjour, je m’appelle Hoai, j’habite le delta du Fleuve rouge. Nous sommes le 23 Juillet 1926."
narrator.dialogue.02,For a month now the water level of the river has been rising steadily.,Đã hơn một tháng nay mực nước sông không ngừng dâng cao.,Depuis un mois la hauteur d’eau du fleuve ne cesse d’augmenter.
narrator.dialogue.03,The local authorities fear a flood…,Chính quyền địa phương đang bày tỏ lo ngại về một trận lũ lụt…,Les autorités locales redoutent une crue…
narrator.dialogue.04,"Fortunately, the delta is protected by a network of dikes stretching over 2,500 kilometres, but it is difficult to maintain.","May thay, đồng bằng sông Hồng được bảo vệ bởi một mạng lưới đê điều dài hơn 2.500 kilomet, nhưng việc bảo dưỡng nó gặp nhiều khó khăn.","Heureusement, le delta est protégé par un réseau de digues qui fait plus de 2500 kilomètres, mais il est difficile à entretenir."
narrator.dialogue.05,"If the dikes on the Gia Lâm side were to break, the damage to crops and homes would be enormous.","Nếu các con đê phía Gia Lâm bị vỡ, thiệt hại đối với mùa màng và nhà cửa sẽ rất đáng kể.","Si les digues côté Gia Lâm venaient à rompre, les dégâts seraient considérables sur les cultures et les habitations."
narrator.dialogue.06,"I am also worried about Hà Nội, even though the dikes are better maintained and higher on this side, the city is on alert.","Tôi cũng lo lắng cho Hà Nội, dù các con đê phía này được bảo dưỡng tốt hơn và cao hơn, thành phố vẫn trong tình trạng đáng báo động.","J’ai aussi peur pour Hà Nội, même si les digues sont mieux entretenues et plus hautes de ce côté, la ville est en alerte. "
narrator.dialogue.07,"Soon you will be able to watch the rising waters in fast-forward, but before that, let's take a closer look at Hà Nội in 1926!","Trong một lát nữa bạn sẽ có thể xem cảnh nước dâng theo chế độ tua nhanh, nhưng trước đó hãy cùng ngắm nhìn Hà Nội năm 1926 một cách chi tiết hơn!","D’ici peu, tu vas pouvoir observer en accéléré la montée de l’eau mais avant ça, allons voir le Hà Nội de 1926 de plus près ! "
narrator.dialogue.08,Don't hesitate to lean in for more details.,Hãy cúi người xuống để xem thêm chi tiết.,"Pour voir plus de détails, n’hésite pas à te pencher."
narrator.dialogue.09,"The 36 Streets quarter was already there at the time, concentrating the largest part of the population.","36 phố phường Hà Nội đã có mặt từ thời đó, chiếm phần lớn dân số của thành phố.",Le quartier des 36 corporations concentrait la plus grande partie de la population. 
narrator.dialogue.10,Do you recognize the Presidential Palace? At the time it was white.,Bạn có nhận ra Phủ Chủ Tịch không? Hồi đó nó được sơn màu trắng.,"Tu reconnais le palais présidentiel ? A l’époque, il était blanc. "
narrator.dialogue.11,"The Trấn Quốc Pagoda did not yet have its stupa. In the 17th century, the temple had been moved away from the banks of the Red River to protect it from floods.","Chùa Trấn Quốc lúc đó chưa có tháp. Vào thế kỷ 17, ngôi chùa đã được dời khỏi bờ sông Hồng để bảo vệ khỏi những cơn lũ.","La Pagode Trấn Quốc n’avait pas encore son stupa. Au 17e siècle, le temple avait été justement déplacé depuis les rives du Fleuve Rouge afin de le protéger des crues. "
narrator.dialogue.12,The water is about to start rising. Watch the Red River closely.,Nước sắp bắt đầu dâng lên. Hãy nhìn kỹ xuống sông Hồng.,"L’eau va commencer à monter, regarde bien le fleuve rouge."
narrator.dialogue.13,"Disaster! The Red River is about to reach 12 metres. 2 metres in 2 days, that is enormous!","Thật tồi tệ! Sông Hồng sắp đạt mức 12 mét. 2 mét trong 2 ngày, quá khủng khiếp!","Catastrophe ! Le fleuve Rouge va bientôt atteindre 12 mètres. 2 mètres en 2 jours, c’est énorme !"
narrator.dialogue.14,Reinforcement dikes are being built on the Hà Nội side.,Các đê gia cố đang được xây dựng ở phía Hà Nội.,Des diguettes de renfort sont en train d’être construites du côté de Hà Nội.
narrator.dialogue.15,"The pressure is too great, the old Gia Quất dike is about to give way...","Sức nước là quá lớn, con đê Gia Quất cũ sắp sụp đổ...","La pression est trop forte, l’ancienne digue de Gia Quất ne va pas tarder à céder…"
narrator.dialogue.16,What a tragedy.. the old Gia Quất dike has just collapsed.,Thật không may làm sao... đê Gia Quất cũ vừa bị vỡ.,Quel malheur.. l’ancienne digue de Gia Quất vient de céder.
narrator.dialogue.17,"Look at what is happening on the sandbank! The thatched huts are being flooded. Let's go closer, click on the highlighted area to see the scene at eye level!","Hãy nhìn xem chuyện gì đang xảy ra trên bãi bồi! Những túp lều tranh đang bị ngập nước. Hãy lại gần hơn, nhấp vào khu vực được đánh dấu để xem khung cảnh cận mắt!","Regarde ce qu’il se passe sur le banc de sable ! Les paillotes sont en train d’être inondées. Allons voir ça de plus près, clique sur les zones en surbrillance pour regarder la scène à hauteur d'homme !"
narrator.dialogue.18,Look at the new Gia Quất dike!,Hãy nhìn con đê Gia Quất mới kìa!,Regarde la nouvelle digue de Gia Quất ! 
narrator.dialogue.19,"The new Gia Quất dike has just broken! But it is not over, look at the ones at Ái Mộ and Lâm Du.","Đê Gia Quất mới vừa bị vỡ! Nhưng còn nữa, hãy nhìn tiếp những đê ở Ái Mộ và Lâm Du.","La nouvelle digue de Gia Quất vient de rompre ! Mais ce n’est pas terminé, regarde celles de Ái Mộ et Lâm Du. "
narrator.dialogue.20,"The dikes at Ái Mộ and Lâm Du have just broken! It is terrible, Gia Lâm is flooded. Troops are being sent to rescue the inhabitants.","Các con đê ở Ái Mộ và Lâm Du cũng vừa bị vỡ! Thật tồi tệ, Gia Lâm đã bị ngập. Quân đội đang được điều động để cứu hộ người dân.","Les digues de Ái Mộ et Lâm Du viennent de rompre ! C’est terrible, Gia Lâm est inondé. Des troupes sont envoyées pour sauver les habitants. "
narrator.dialogue.21,"Look, the river level is 60 cm above the quay in Hà Nội. Emergency dikes have been built to prevent flooding. Click on the highlighted area to see the scene at eye level!","Nhìn kìa, mực nước sông đã cao hơn 60cm so với bến tàu tại Hà Nội. Các đê khẩn cấp đang được xây để ngăn lũ. Nhấp vào vùng được tô sáng để xem cảnh này từ cận mắt!","Regarde, le niveau du fleuve est 60 cm au-dessus du quai à Hà Nội. Des diguettes ont été construites en urgence pour empêcher l'inondation. Clique sur la zone en surbrillance pour regarder la scène à hauteur d'homme ! "
narrator.dialogue.22,"It is terrible, the provinces of Bắc Ninh and parts of Hưng Yên, Hải Dương and Thái Binh are flooded!","Quá tồi tệ, toàn tỉnh Bắc Ninh và một phần các tỉnh Hưng Yên, Hải Dương và Thái Bình đang bị ngập lụt!","C’est terrible, les provinces de Bắc Ninh et une partie des provinces de Hưng Yên, Hải Dương et Thái Binh sont inondées !"
narrator.dialogue.23,The authorities are urgently mobilising resources to help flood victims. Gia Lâm is completely flooded. The railway line has been cut between Hà Nội and Hải Phòng. Click on the highlighted areas to see it at eye level.,Các cơ quan chức năng đang khẩn cấp huy động nguồn lực giúp đỡ người dân gặp nạn. Gia Lâm bị ngập hoàn toàn. Tuyến đường sắt giữa Hà Nội và Hải Phòng đã bị cắt đứt. Nhấn vào các vùng được tô sáng để xem cận mắt.,Les autorités mobilisent en urgence des moyens pour aider les sinistrés. Gia Lâm est complètement inondée. La voie ferrée a été coupée entre Hà Nội et Hải Phòng. Clique sur les zones en surbrillance pour regarder ça à hauteur d’homme.
narrator.dialogue.24,"The flood is finally calming down, what a relief. It will take several weeks for the river to return to its bed and 3 months to seal the breach at Lâm Du!","Lũ cuối cùng cũng đang lắng xuống, nhẹ nhõm thay. Sẽ mất vài tuần để sông Hồng có thể trở về lòng sông cũ và 3 tháng để hàn kín vết vỡ ở Lâm Du!","La crue se calme enfin, ouf. Il faudra plusieurs semaines pour que le fleuve rentre dans son lit et 3 mois pour colmater la brèche de Lâm Du !"
narrator.dialogue.25,This is the level of a normal monsoon.,Đây là mức nước của một mùa mưa bình thường.,"Là, c’est le niveau d’une mousson normale."
narrator.dialogue.26,See how just a few days of rain can change everything.,"Nhìn xem, chỉ vài ngày mưa mà có thể thay đổi mọi thứ như thế nào.",Regarde comme quelques jours de pluie peuvent tout changer. 
narrator.dialogue.27,The Red River has reached nearly 12 metres in Hà Nội. That is twice the alert threshold!,Sông Hồng đã đạt gần 12 mét tại Hà Nội. Đó là gấp đôi ngưỡng báo động!,Le fleuve rouge a atteint près de 12 mètres à Hà Nội. C’est deux fois le seuil d’alerte ! 
narrator.dialogue.28,"In Gia Lâm, there were more than two thousand disaster victims and around a hundred people lost their lives. In the Red River Delta, many villages and 220,000 hectares of rice fields were flooded.","Tại Gia Lâm, có hơn hai nghìn người bị chịu ảnh hưởng của cơn lũ và khoảng một trăm người đã thiệt mạng. Ở đồng bằng sông Hồng, nhiều làng mạc và 220.000 héc-ta ruộng lúa đã bị ngập lụt.","À Gia Lâm, il y a eu plus de deux milles sinistrés et une centaine de personnes ont perdu la vie. Dans le delta du fleuve Rouge, de nombreux villages et 220 000 hectares de rizières ont été inondés. "
narrator.dialogue.29,"Following this flood, 800 kilometres of dikes were raised and the riverbanks were reinforced with stone.","Sau trận lũ này, 800 kilomet đê điều đã được xây cao lên và các bờ sông được gia cố bằng đá.","A la suite de cette crue, 800 kilomètres de digues ont été réhaussés, et les berges des fleuves empierrées."
narrator.dialogue.30,"This reinforcement proved effective - during the subsequent floods between 1926 and 1937, the strengthened dikes held!","Biện pháp gia cố này đã chứng tỏ hiệu quả — trong các trận lũ tiếp theo từ năm 1926 đến 1937, các tuyến đê được gia cố vẫn trụ vững!","Ce renforcement a été efficace, lors des crues suivantes entre 1926 et 1937, les digues renforcées ont tenu ! "
narrator.dialogue.31,"Learning to live with the river, that is the challenge of water management! We learn from the past, we reinforce the structures, we anticipate. The river, for its part, never stops.","Học cách chung sống với dòng sông - đó chính là thách thức của công tác quản lý nước! Chúng ta rút kinh nghiệm từ quá khứ, gia cố các công trình và chủ động dự liệu trước. Còn dòng sông, chúng chưa bao giờ ngừng chảy.","Apprendre à vivre avec le fleuve, c’est ça le défi de l'aménagement hydraulique ! On apprend du passé, on renforce les ouvrages, on anticipe. Le fleuve, lui, ne s'arrête jamais."
narrator.dialogue.32,"In the past, there was talk of levelling the dikes, but that debate is closed. If we want to protect cities, villages, factories, fields and roads, we must always maintain and consolidate the dikes.","Trước đây, từng có ý kiến cho rằng nên phá bỏ các tuyến đê, nhưng cuộc tranh luận ấy nay đã khép lại. Nếu muốn bảo vệ các thành phố, làng mạc, nhà máy, đồng ruộng và đường sá, chúng ta phải luôn duy tu và củng cố hệ thống đê điều.","Avant, il était question d'arraser les digues, mais ce débat est clos. Si l’on veut protéger les villes, les villages, les usines, les champs et les routes il faut toujours entretenir et consolider les digues."
narrator.dialogue.33,"The proof: today the average height of the dikes is 17 metres above sea level, nearly 4 metres more than in 1926.","Bằng chứng là: ngày nay chiều cao trung bình của các con đê là 17 mét so với mực nước biển, tức là gần 4 mét cao hơn so với năm 1926.","La preuve : aujourd'hui, la hauteur moyenne des digues est de 17 mètres par rapport au niveau de la mer soit près de 4 mètres de plus qu’en 1926."
narrator.dialogue.34,"There you go, now you know more about this flood and the complexities of water management. If you wish, you can continue to explore the map. When you are done, remember to place the VR headset back on its stand. Goodbye!","Vậy là giờ bạn đã hiểu thêm về trận lũ này cũng như những thách thức phức tạp của công tác quản lý nước. Nếu muốn, bạn có thể tiếp tục khám phá bản đồ. Khi sử dụng xong, đừng quên đặt kính thực tế ảo trở lại giá đỡ nhé. Tạm biệt!","Voilà, maintenant tu en sais plus sur cette crue mais aussi sur les complexités de la gestion hydraulique. Si tu le souhaites, tu peux continuer à explorer la carte.  Quand tu auras terminé, pense bien à reposer le casque sur son support. Au revoir ! "
,,,
,,,
narrator.dialogue.diorama1.01,"Here, the water has invaded the homes. Residents must use boats to get around, the inhabitants are being evacuated!","Ở đây, nước đã tràn vào nhà cửa. Người dân phải dùng thuyền để di chuyển, các hộ dân đang được sơ tán!","Ici l'eau a envahi les habitations. Les résidents doivent utiliser des barques pour se déplacer, les habitants sont en train d'être évacués ! "
narrator.dialogue.diorama1.02,"On July 27, the thatched huts along the Red River on the Hà Nội side had already been evacuated. All the people had been relocated to the old cotton mill in Hà Nội.","Ngày 27 tháng 7, những túp lều tranh dọc sông Hồng phía Hà Nội đã được sơ tán. Tất cả mọi người đã được chuyển đến nhà máy bông cũ ở Hà Nội.","Le 27 juillet, les paillotes au bord du Fleuve Rouge côté Hà Nội ont déjà été évacuées. Toutes les personnes ont été installées dans l'ancienne filature de coton de Hà Nội."
narrator.dialogue.diorama1.03,Let's go back to watch the flood - the water keeps rising.,Mực nước của cơn lũ vẫn còn đang lên - hãy quay lại để quan sát tiếp nào.,"Retournons voir la crue, l’eau continue à monter. "
narrator.dialogue.diorama2.01,"The water is really high, impressive! The emergency dikes were built by more than 250 people in record time.","Nước thật sự rất cao, thật đáng kinh ngạc! Các tuyến đê khẩn cấp đã được hơn 250 người xây lên trong thời gian kỷ lục.","L’eau est vraiment haute, c’est impressionnant ! Les diguettes ont été construites par plus de 250 personnes en un temps record."
narrator.dialogue.diorama2.02,"On the Gia Lâm side, the dikes were shorter and less well maintained. Perhaps if they had not given way and released part of the floodwaters, Hà Nội would have been flooded.","Ở phía Gia Lâm, các con đê thấp hơn và ít được bảo dưỡng hơn. Có lẽ nếu chúng không bị vỡ và giải phóng một phần nước lũ, Hà Nội đã bị ngập lụt.","Du côté de Gia Lâm, les digues étaient moins hautes et moins bien entretenues. Peut-être que si elles n’avaient pas cédé et libéré une partie des flots, Hà Nội aurait été inondé."
narrator.dialogue.diorama3.01,"The river level is truly impressive, the water has swept everything in its path!","Mực nước sông thật sự rất đáng sợ, chúng cuốn trôi tất cả mọi thứ trên đường đi!","Le niveau du fleuve est vraiment impressionnant, l’eau a tout emporté sur son passage ! "
narrator.dialogue.diorama3.02,Getting passengers to Hải Phòng requires alternating between boat and train. Repairing the line will demand a great deal of manpower.,Việc đưa hành khách đến Hải Phòng phải kết hợp luân phiên giữa tàu thuyền và tàu hỏa. Việc khôi phục tuyến đường sắt sẽ đòi hỏi rất nhiều nhân lực.,Le transport des voyageurs vers Hải Phòng nécessite d’alterner bateau et train. La réparation de la ligne va demander beaucoup de main d'œuvre. 
,,,
month.January,January,Tháng Một,Janvier
month.February,February,Tháng Hai,Février
month.March,March,Tháng Ba,Mars
month.April,April,Tháng Tư,Avril
month.May ,May,Tháng Năm,Mai
month.June,June,Tháng Sáu,Juin
month.July,July,Tháng Bảy,Juillet
month.August,August,Tháng Tám,Août
month.September ,September,Tháng Chín,Septembre
month.October ,October,Tháng Mười,Octobre
month.November,November,Tháng Mười Một,Novembre
month.December,December,Tháng Mười Hai,Décembre
,,,
,,,
Red.River.Title,Red River,Sông Hồng,Fleuve Rouge
Red.River.DrySeason,Dry season level,Mức nước mùa khô,Niveau saison sèche
Red.River.SpringRise,Spring rise,Nước dâng mùa xuân,Montée printanière
Red.River.MonsoonLevel,Normal monsoon level,Mức nước mùa mưa ,Niveau Mousson normal
Red.River.MajorFlood,Major flood,Lũ lớn,Crue importante
Red.River.ExtremeFlood,Extreme flood,Lũ cực đoan,Crue exceptionnelle
Red.River.1926Peak,1926 flood peak,Đỉnh lũ năm 1926,Pic de la crue 1926
,,,
,,,
poi.opera,Opera,Nhà hát,Opéra
,,,
poi.Presidential.Palace,Palace of the Governor-General of Indochina\n(Presidential Palace)\n1906,Phủ Toàn quyền Đông Dương \n(Phủ Chủ tịch)\n1906,Palais Puginier\n(Palais présidentiel)  \n1906
poi.One.Pillar.Pagoda,One Pillar Pagoda\n11th century,Chùa Một Cột\nThế kỷ 11,Pagode au pilier unique\nXIe siècle 
poi.North.Gate,North Gate 1803,Cửa Bắc 1803,La porte Nord 1803
poi.Hanoi.City.Hall,Hanoi City Hall\n(People's Committee of Hanoï City)\n20th century,Tòa Thị Chính Hà Nội\n(Ủy ban nhân dân quận Hà Nội) \nThế kỷ 20,Mairie de Hanoï\n(Commité populaire de Hanoï)\nXXe siècle 
poi.Water.Tower,Water Tower 1894,Hàng Đậu 1894,Chateau d'eau 1894
poi.Temple.of.Literature,Temple of Literature\n1070,Văn Miếu - Quốc Tử Giám\n1070,Temple de la littérature \n1070
poi.Exhibition.Park,Exhibition Park\n1902,Nhà Đấu xảo\n1902,Parc des expositions\n1902
